method,estimate,flow,cq,runid
truth,13.52057885090754,unaltered,none,5
pw,13.511609057964554,base,chemostatic,5
beale,NA,base,chemostatic,5
rating,15.19090668395406,base,chemostatic,5
composite,15.324172521097825,base,chemostatic,5
truth,15.793219304556914,base,chemostatic,5
pw,6.100384869887235,storm,chemostatic,5
beale,NA,storm,chemostatic,5
rating,12.606247956444584,storm,chemostatic,5
composite,12.789116028194163,storm,chemostatic,5
truth,13.719417123495111,storm,chemostatic,5
pw,10.955770045987078,unaltered,chemostatic,5
beale,NA,unaltered,chemostatic,5
rating,12.935908900604268,unaltered,chemostatic,5
composite,13.05989858085095,unaltered,chemostatic,5
truth,13.533897906323947,unaltered,chemostatic,5
pw,15.117209594044782,base,dilution,6
beale,NA,base,dilution,6
rating,12.632866729554843,base,dilution,6
composite,12.552707991234515,base,dilution,6
truth,12.472053886863913,base,dilution,6
pw,28.729508548387518,storm,dilution,6
beale,NA,storm,dilution,6
rating,13.664055917875348,storm,dilution,6
composite,10.702035083814256,storm,dilution,6
truth,17.480791618624032,storm,dilution,6
pw,15.913201565446517,unaltered,dilution,6
beale,NA,unaltered,dilution,6
rating,12.577760733416156,unaltered,dilution,6
composite,12.29878242517892,unaltered,dilution,6
truth,13.764038569423427,unaltered,dilution,6
pw,6.070584898855877,base,enrich,6
beale,NA,base,enrich,6
rating,15.484751323152032,base,enrich,6
composite,15.864442839377872,base,enrich,6
truth,13.919911471298429,base,enrich,6
pw,1.1224229522801705,storm,enrich,6
beale,NA,storm,enrich,6
rating,63.780902229328554,storm,enrich,6
composite,64.64397755277109,storm,enrich,6
truth,76.10384678737192,storm,enrich,6
pw,3.72425139594861,unaltered,enrich,6
beale,NA,unaltered,enrich,6
rating,15.922861825624867,unaltered,enrich,6
composite,16.31762475485674,unaltered,enrich,6
truth,13.886252370476189,unaltered,enrich,6
pw,14.139546723510737,base,none,6
beale,NA,base,none,6
rating,16.21871839826365,base,none,6
composite,16.098815379249263,base,none,6
truth,15.749293736449712,base,none,6
pw,6.348298283190531,storm,none,6
beale,NA,storm,none,6
rating,15.194683802155522,storm,none,6
composite,14.550668094429593,storm,none,6
truth,13.574053820443245,storm,none,6
pw,11.283032571912644,unaltered,none,6
beale,NA,unaltered,none,6
rating,14.004919426397976,unaltered,none,6
composite,13.83036168652691,unaltered,none,6
truth,13.475874249153037,unaltered,none,6
pw,14.052531131133508,base,chemostatic,6
beale,NA,base,chemostatic,6
rating,16.0944389164416,base,chemostatic,6
composite,16.076031956099964,base,chemostatic,6
truth,15.814853575630869,base,chemostatic,6
pw,6.309230486570101,storm,chemostatic,6
beale,NA,storm,chemostatic,6
rating,14.123128696842231,storm,chemostatic,6
composite,14.07544646545129,storm,chemostatic,6
truth,13.777101203852213,storm,chemostatic,6
pw,11.213596133655109,unaltered,chemostatic,6
beale,NA,unaltered,chemostatic,6
rating,13.808266594137935,unaltered,chemostatic,6
composite,13.790641410911453,unaltered,chemostatic,6
truth,13.5505881281787,unaltered,chemostatic,6
pw,14.351787018810375,base,dilution,7
beale,NA,base,dilution,7
rating,11.999013396855043,base,dilution,7
composite,12.305368978848003,base,dilution,7
truth,12.34745809483312,base,dilution,7
pw,27.901200612811422,storm,dilution,7
beale,NA,storm,dilution,7
rating,12.690294055408655,storm,dilution,7
composite,12.612631116384069,storm,dilution,7
truth,17.56021791604041,storm,dilution,7
pw,15.223214760791556,unaltered,dilution,7
beale,NA,unaltered,dilution,7
rating,11.85548150199393,unaltered,dilution,7
composite,12.34516761907364,unaltered,dilution,7
truth,13.529115513671778,unaltered,dilution,7
pw,5.242747735582334,base,enrich,7
beale,NA,base,enrich,7
rating,13.700988994130807,base,enrich,7
composite,13.778727252715472,base,enrich,7
truth,14.010571519910117,base,enrich,7
pw,1.3174889444976898,storm,enrich,7
beale,NA,storm,enrich,7
rating,64.45871012637168,storm,enrich,7
composite,65.06291413766415,storm,enrich,7
truth,75.40206222276665,storm,enrich,7
pw,4.066492055259903,unaltered,enrich,7
beale,NA,unaltered,enrich,7
rating,15.15772783214566,unaltered,enrich,7
composite,15.342524727741367,unaltered,enrich,7
truth,13.763409869979359,unaltered,enrich,7
pw,13.835485298418273,base,none,7
beale,NA,base,none,7
rating,16.314286649176946,base,none,7
composite,17.50719186894716,base,none,7
truth,15.70142571618367,base,none,7
pw,6.231363595138379,storm,none,7
beale,NA,storm,none,7
rating,14.102394508545721,storm,none,7
composite,15.924617733979552,storm,none,7
truth,13.735541338467817,storm,none,7
pw,11.159175880554757,unaltered,none,7
beale,NA,unaltered,none,7
rating,14.223078297634528,unaltered,none,7
composite,15.348826668378639,unaltered,none,7
truth,13.5092098165211,unaltered,none,7
pw,13.64554207281875,base,chemostatic,7
beale,NA,base,chemostatic,7
rating,15.689292539744459,base,chemostatic,7
composite,15.779157000758302,base,chemostatic,7
truth,15.727496684016003,base,chemostatic,7
pw,6.14581507438795,storm,chemostatic,7
beale,NA,storm,chemostatic,7
rating,13.868774065054172,storm,chemostatic,7
composite,13.962001524716857,storm,chemostatic,7
truth,13.737379247458428,storm,chemostatic,7
pw,11.005974903786182,unaltered,chemostatic,7
beale,NA,unaltered,chemostatic,7
rating,13.51205421746619,unaltered,chemostatic,7
composite,13.591207773801614,unaltered,chemostatic,7
truth,13.529371079603418,unaltered,chemostatic,7
pw,13.813852170098668,base,dilution,8
beale,NA,base,dilution,8
rating,11.43162908398671,base,dilution,8
composite,11.647905587693657,base,dilution,8
truth,12.268411771546592,base,dilution,8
pw,27.022538264655918,storm,dilution,8
beale,NA,storm,dilution,8
rating,12.671669636370012,storm,dilution,8
composite,11.787166444291934,storm,dilution,8
truth,17.154444249008836,storm,dilution,8
pw,14.911232821912868,unaltered,dilution,8
beale,NA,unaltered,dilution,8
rating,11.80344546603243,unaltered,dilution,8
composite,11.870819024462795,unaltered,dilution,8
truth,13.49559335579306,unaltered,dilution,8
pw,5.822358696049505,base,enrich,8
beale,NA,base,enrich,8
rating,13.994820371409293,base,enrich,8
composite,14.089141854437454,base,enrich,8
truth,13.689302764893105,base,enrich,8
pw,1.1389553003902055,storm,enrich,8
beale,NA,storm,enrich,8
rating,56.25218460657164,storm,enrich,8
composite,56.89034149870146,storm,enrich,8
truth,74.51161493900993,storm,enrich,8
pw,3.7172617433097397,unaltered,enrich,8
beale,NA,unaltered,enrich,8
rating,13.242569181314831,unaltered,enrich,8
composite,13.48555321040796,unaltered,enrich,8
truth,13.626400454269719,unaltered,enrich,8
pw,13.2150664750839,base,none,8
beale,NA,base,none,8
rating,13.476650989433443,base,none,8
composite,14.06057037285321,base,none,8
truth,15.677524417300363,base,none,8
pw,6.001124349114967,storm,none,8
beale,NA,storm,none,8
rating,9.714802044607223,storm,none,8
composite,10.184417306560436,storm,none,8
truth,13.751007662327307,storm,none,8
pw,10.750584980358926,unaltered,none,8
beale,NA,unaltered,none,8
rating,11.262488125308629,unaltered,none,8
composite,11.785427342191255,unaltered,none,8
truth,13.532244897189253,unaltered,none,8
pw,13.593182127891781,base,chemostatic,8
beale,NA,base,chemostatic,8
rating,15.681060721964775,base,chemostatic,8
composite,15.76385279372061,base,chemostatic,8
truth,15.670668318103477,base,chemostatic,8
pw,6.172831321238423,storm,chemostatic,8
beale,NA,storm,chemostatic,8
rating,13.696739752765987,storm,chemostatic,8
composite,13.882064094208918,storm,chemostatic,8
truth,13.737403580968595,storm,chemostatic,8
pw,11.058185737841242,unaltered,chemostatic,8
beale,NA,unaltered,chemostatic,8
rating,13.528091785610323,unaltered,chemostatic,8
composite,13.613809447761744,unaltered,chemostatic,8
truth,13.524280025141303,unaltered,chemostatic,8
pw,14.017110096665148,base,dilution,9
beale,NA,base,dilution,9
rating,11.797041961766496,base,dilution,9
composite,11.984527623683345,base,dilution,9
truth,12.265104486461158,base,dilution,9
pw,27.938857686313415,storm,dilution,9
beale,NA,storm,dilution,9
rating,13.223794307459693,storm,dilution,9
composite,13.535391144348296,storm,dilution,9
truth,17.252416389254627,storm,dilution,9
pw,15.407496126136074,unaltered,dilution,9
beale,NA,unaltered,dilution,9
rating,12.269865527867518,unaltered,dilution,9
composite,12.42640930525623,unaltered,dilution,9
truth,13.26456634069368,unaltered,dilution,9
pw,5.848595150678201,base,enrich,9
beale,NA,base,enrich,9
rating,15.856016172151337,base,enrich,9
composite,15.901425483989264,base,enrich,9
truth,13.845719867985753,base,enrich,9
pw,1.1493908873209908,storm,enrich,9
beale,NA,storm,enrich,9
rating,63.768878076730246,storm,enrich,9
composite,64.38337738467325,storm,enrich,9
truth,74.94146134657323,storm,enrich,9
pw,3.7300352173041036,unaltered,enrich,9
beale,NA,unaltered,enrich,9
rating,14.818132358170795,unaltered,enrich,9
composite,15.00474235590331,unaltered,enrich,9
truth,13.626210785739243,unaltered,enrich,9
pw,14.39447319317627,base,none,9
beale,NA,base,none,9
rating,16.07161112681617,base,none,9
composite,16.77209724995475,base,none,9
truth,15.69899917014975,base,none,9
pw,6.525237844613279,storm,none,9
beale,NA,storm,none,9
rating,13.517064974968601,storm,none,9
composite,14.580141154797888,storm,none,9
truth,13.769564694672358,storm,none,9
pw,11.680800825428062,unaltered,none,9
beale,NA,unaltered,none,9
rating,13.809345127783589,unaltered,none,9
composite,14.471206742895342,unaltered,none,9
truth,13.555717963352786,unaltered,none,9
pw,13.507342071669756,base,chemostatic,9
beale,NA,base,chemostatic,9
rating,15.444864907882218,base,chemostatic,9
composite,15.424757679840265,base,chemostatic,9
truth,15.652561472242455,base,chemostatic,9
pw,6.12308755474142,storm,chemostatic,9
beale,NA,storm,chemostatic,9
rating,13.527597555399693,storm,chemostatic,9
composite,13.472753984443298,storm,chemostatic,9
truth,13.740288173186354,storm,chemostatic,9
pw,10.960913282668349,unaltered,chemostatic,9
beale,NA,unaltered,chemostatic,9
rating,13.33196999609083,unaltered,chemostatic,9
composite,13.309389830814878,unaltered,chemostatic,9
