method,estimate,flow,cq,runid
pw,11.742612001493193,base,none,4
beale,NA,base,none,4
rating,15.558132962940702,base,none,4
composite,15.477485347629857,base,none,4
truth,15.748925019906869,base,none,4
pw,4.978586851339576,storm,none,4
beale,NA,storm,none,4
rating,13.512497038711555,storm,none,4
composite,13.779275425877541,storm,none,4
truth,13.763703145983742,storm,none,4
pw,9.453503735932504,unaltered,none,4
beale,NA,unaltered,none,4
rating,13.297219914289574,unaltered,none,4
composite,13.314136190963872,unaltered,none,4
truth,13.547912315766295,unaltered,none,4
pw,12.636680246026692,base,chemostatic,4
beale,NA,base,chemostatic,4
rating,15.874481955009353,base,chemostatic,4
composite,15.969868005434737,base,chemostatic,4
truth,15.73925983343089,base,chemostatic,4
pw,5.357650419638411,storm,chemostatic,4
beale,NA,storm,chemostatic,4
rating,13.816709728365323,storm,chemostatic,4
composite,14.111056112086969,storm,chemostatic,4
truth,13.740902537136087,storm,chemostatic,4
pw,10.173282051762174,unaltered,chemostatic,4
beale,NA,unaltered,chemostatic,4
rating,13.607537005461296,unaltered,chemostatic,4
composite,13.729980413642204,unaltered,chemostatic,4
truth,13.536412542842669,unaltered,chemostatic,4
pw,13.466750221246091,base,dilution,5
beale,NA,base,dilution,5
rating,11.618933752118588,base,dilution,5
composite,11.810300011886955,base,dilution,5
truth,12.413329293133415,base,dilution,5
pw,24.934676024194363,storm,dilution,5
beale,NA,storm,dilution,5
rating,13.780996446933258,storm,dilution,5
composite,10.969925390836483,storm,dilution,5
truth,17.7151393901095,storm,dilution,5
pw,14.401717353712595,unaltered,dilution,5
beale,NA,unaltered,dilution,5
rating,11.854297077675666,unaltered,dilution,5
composite,11.790068162343273,unaltered,dilution,5
truth,13.860893617981896,unaltered,dilution,5
pw,4.467998586927482,base,enrich,5
beale,NA,base,enrich,5
rating,19.07246682613456,base,enrich,5
composite,19.01525659898724,base,enrich,5
truth,14.199623678888818,base,enrich,5
pw,0.8410766458222935,storm,enrich,5
beale,NA,storm,enrich,5
rating,34.69659936723051,storm,enrich,5
composite,35.08626490903887,storm,enrich,5
truth,76.01126889788138,storm,enrich,5
pw,3.2060307624845676,unaltered,enrich,5
beale,NA,unaltered,enrich,5
rating,14.754189939223384,unaltered,enrich,5
composite,14.850808529418096,unaltered,enrich,5
truth,13.87144079203328,unaltered,enrich,5
pw,12.61006502229619,base,none,5
beale,NA,base,none,5
rating,15.68532784868185,base,none,5
composite,16.477180244595537,base,none,5
truth,15.762894002338092,base,none,5
pw,5.378423806208729,storm,none,5
beale,NA,storm,none,5
rating,12.647987099519295,storm,none,5
