method,estimate,flow,cq,runid
pw,13.986220120841816,base,none,4
beale,NA,base,none,4
rating,15.200802015874407,base,none,4
composite,15.801702130999494,base,none,4
truth,15.631569318072525,base,none,4
pw,7.262781832647095,storm,none,4
beale,NA,storm,none,4
rating,13.270741826512747,storm,none,4
composite,13.867561260339519,storm,none,4
truth,13.703777225739499,storm,none,4
pw,11.455890946935904,unaltered,none,4
beale,NA,unaltered,none,4
rating,13.148233852218336,unaltered,none,4
composite,13.667350213833945,unaltered,none,4
truth,13.529014748151114,unaltered,none,4
pw,13.666459221377583,base,chemostatic,4
beale,NA,base,chemostatic,4
rating,15.428110208052262,base,chemostatic,4
composite,15.451654353976126,base,chemostatic,4
truth,15.613971631137717,base,chemostatic,4
pw,7.096735993860456,storm,chemostatic,4
beale,NA,storm,chemostatic,4
rating,13.409865962015536,storm,chemostatic,4
composite,13.467381195515392,storm,chemostatic,4
truth,13.676338534186195,storm,chemostatic,4
pw,11.193979868624066,unaltered,chemostatic,4
beale,NA,unaltered,chemostatic,4
rating,13.337995518454854,unaltered,chemostatic,4
composite,13.36218246618444,unaltered,chemostatic,4
truth,13.511966617788604,unaltered,chemostatic,4
pw,14.308460652907574,base,dilution,5
beale,NA,base,dilution,5
rating,11.502246264416419,base,dilution,5
composite,11.861355891332417,base,dilution,5
truth,12.260356718965355,base,dilution,5
pw,33.2045411712268,storm,dilution,5
beale,NA,storm,dilution,5
rating,12.366202893993693,storm,dilution,5
composite,12.932451599289685,storm,dilution,5
truth,17.00233017796402,storm,dilution,5
pw,15.832709857349,unaltered,dilution,5
beale,NA,unaltered,dilution,5
rating,11.792060026492658,unaltered,dilution,5
composite,12.027727265424804,unaltered,dilution,5
truth,13.347481336044366,unaltered,dilution,5
pw,5.993678856298897,base,enrich,5
beale,NA,base,enrich,5
rating,12.2511642828986,base,enrich,5
composite,12.343390361170925,base,enrich,5
truth,13.239815732448884,base,enrich,5
pw,1.455083762875974,storm,enrich,5
beale,NA,storm,enrich,5
rating,61.7327806165081,storm,enrich,5
composite,61.85462358790359,storm,enrich,5
truth,74.55378300734615,storm,enrich,5
pw,3.806538478935996,unaltered,enrich,5
beale,NA,unaltered,enrich,5
rating,13.36929284704562,unaltered,enrich,5
composite,13.350096413013933,unaltered,enrich,5
truth,13.614569505534062,unaltered,enrich,5
pw,13.009425770974172,base,none,5
beale,NA,base,none,5
rating,14.326032968972827,base,none,5
composite,14.669007597713286,base,none,5
truth,15.57181148658283,base,none,5
pw,6.809582506701201,storm,none,5
beale,NA,storm,none,5
rating,12.703187443444952,storm,none,5
composite,12.74673955650989,storm,none,5
truth,13.74338747464499,storm,none,5
pw,10.735788441665289,unaltered,none,5
beale,NA,unaltered,none,5
rating,12.516888644951997,unaltered,none,5
composite,12.762227695298868,unaltered,none,5
truth,13.536744284006978,unaltered,none,5
pw,13.717907843050261,base,chemostatic,5
beale,NA,base,chemostatic,5
rating,15.598439419481116,base,chemostatic,5
composite,15.684353593439173,base,chemostatic,5
truth,15.549824926188185,base,chemostatic,5
pw,7.180426478545431,storm,chemostatic,5
beale,NA,storm,chemostatic,5
rating,13.634768554179024,storm,chemostatic,5
composite,13.839402143801179,storm,chemostatic,5
truth,13.690638590512162,storm,chemostatic,5
pw,11.32045019187811,unaltered,chemostatic,5
beale,NA,unaltered,chemostatic,5
rating,13.534809358316284,unaltered,chemostatic,5
