datetime,IS_spCond,IS_NO3,IS_discharge
2015-10-02T16:33:00Z,0.6541808478,0.024,4.6326
2015-10-02T16:47:00Z,0.6548092635999999,0.024,4.6326
2015-10-02T17:03:00Z,0.6554376794,0.025,4.6326
2015-10-02T17:18:00Z,0.6554376794,0.025,3.8058
2015-10-02T17:33:00Z,0.6573229268,0.024,3.8058
2015-10-02T17:47:00Z,0.6579513426,0.025,3.8058
2015-10-02T18:03:00Z,0.6579513426,0.024,3.8058
2015-10-02T18:18:00Z,0.6585797583999999,0.024,3.8058
2015-10-02T18:33:00Z,0.6579513426,0.024,3.8058
2015-10-02T18:47:00Z,0.6592081742,0.025,3.8058
2015-10-02T19:03:00Z,0.6604650057999999,0.024,3.8058
2015-10-02T19:18:00Z,0.6604650057999999,0.024,3.8058
2015-10-02T19:33:00Z,0.65983659,0.024,3.8058
2015-10-02T19:47:00Z,0.6617218373999999,0.025,3.8058
2015-10-02T20:03:00Z,0.6617218373999999,0.025,3.8058
2015-10-02T20:18:00Z,0.66235025319999985,0.025,3.8058
2015-10-02T20:33:00Z,0.6617218373999999,0.025,3.8058
2015-10-02T20:47:00Z,0.66235025319999985,0.025,3.8058
2015-10-02T21:03:00Z,0.66235025319999985,0.024,3.8058
2015-10-02T21:18:00Z,0.6617218373999999,0.025,3.8058
2015-10-02T21:33:00Z,0.662978669,0.026,3.8058
2015-10-02T21:47:00Z,0.6642355005999999,0.025,3.8058
2015-10-02T22:03:00Z,0.6636070848,0.024,3.8058
2015-10-02T22:18:00Z,0.6654923321999999,0.024,3.8058
2015-10-02T22:33:00Z,0.6648639164,0.025,3.8058
2015-10-02T22:47:00Z,0.6642355005999999,0.024,3.8058
2015-10-02T23:03:00Z,0.6661207479999999,0.025,3.8058
2015-10-02T23:18:00Z,0.6642355005999999,0.025,3.8058
2015-10-02T23:33:00Z,0.6661207479999999,0.025,3.8058
2015-10-02T23:47:00Z,0.6667491637999999,0.024,3.8058
2015-10-03T00:03:00Z,0.6667491637999999,0.025,3.8058
2015-10-03T00:18:00Z,0.6673775795999999,0.025,3.8058
2015-10-03T00:33:00Z,0.6673775795999999,0.025,3.8058
2015-10-03T00:47:00Z,0.669262827,0.024,3.8058
2015-10-03T01:03:00Z,0.669262827,0.025,3.8058
2015-10-03T01:18:00Z,0.6698912427999999,0.024,3.8058
2015-10-03T01:33:00Z,0.6698912427999999,0.025,3.8058
2015-10-03T01:47:00Z,0.6698912427999999,0.024,3.8058
2015-10-03T02:03:00Z,0.6711480743999999,0.025,3.8058
